Age,PSNR,SSIM,LPIPS,MAE,File,AgeGroup
8,20.623655,0.8973838154888208,0.5414960725686034,0.05846618,MNBCP890518_8mo_PTNetSynth.nii.gz,7-9m
10,21.254303,0.9141456792808984,0.4913087892591169,0.060742017,MNBCP936900_10mo_PTNetSynth.nii.gz,10-12m
11,19.1445,0.8887658765046712,0.5661598665258253,0.07496445,MNBCP987008_11mo_PTNetSynth.nii.gz,10-12m
14,21.558802,0.9195763779952432,0.4231602464978759,0.055709112,MNBCP987008_14mo_PTNetSynth.nii.gz,13-15m
24,15.216602,0.9023525940647971,0.5823098719493152,0.15254681,MNBCP987008_24mo_PTNetSynth.nii.gz,19-24m
8,20.913694,0.9182555260191972,0.500991499956165,0.06084766,MNBCP987008_8mo_PTNetSynth.nii.gz,7-9m
8,22.061518,0.9240050414233618,0.5475915326322947,0.049158767,MNBCP993015_8mo_PTNetSynth.nii.gz,7-9m
10,18.587994,0.9092887370936212,0.5467006227061246,0.100019895,NCBCP017541_10mo_PTNetSynth.nii.gz,10-12m
16,19.787485,0.9071662095518879,0.5664945278041715,0.081019424,NCBCP017541_16mo_PTNetSynth.nii.gz,16-18m
11,18.733784,0.918152719409584,0.569154339601958,0.09903948,NCBCP052977_11mo_PTNetSynth.nii.gz,10-12m
17,19.89925,0.919098293407148,0.5714192853953975,0.08174616,NCBCP052977_17mo_PTNetSynth.nii.gz,16-18m
10,21.597942,0.8939365477953861,0.5423827914148569,0.052313715,NCBCP106436_10mo_PTNetSynth.nii.gz,10-12m
10,19.010841,0.9059455568309226,0.5888479269372348,0.09081845,NCBCP137012_10mo_PTNetSynth.nii.gz,10-12m
13,19.832874,0.9089825961457988,0.5974834375555003,0.08102415,NCBCP137012_13mo_PTNetSynth.nii.gz,13-15m
11,20.591688,0.8990164328164107,0.4835899522065357,0.06062469,NCBCP223244_11mo_PTNetSynth.nii.gz,10-12m
21,21.511433,0.9108805489609143,0.5411970167173238,0.054352254,NCBCP223244_21mo_PTNetSynth.nii.gz,19-24m
6,18.665855,0.892238879637272,0.5664755712809234,0.086298056,NCBCP223244_6mo_PTNetSynth.nii.gz,4-6m
8,19.124372,0.8960485450990858,0.5800731823662456,0.08125896,NCBCP223244_8mo_PTNetSynth.nii.gz,7-9m
16,18.902586,0.919266400253443,0.5702250963773857,0.095215864,NCBCP294064_16mo_PTNetSynth.nii.gz,16-18m
9,18.308735,0.9046566387914345,0.558293353739011,0.09528562,NCBCP314462_09mo_PTNetSynth.nii.gz,7-9m
10,20.726387,0.8939485411135769,0.5447097356104619,0.05921351,NCBCP340476_10mo_PTNetSynth.nii.gz,10-12m
16,21.029139,0.8998947935285714,0.5288556521125616,0.05820244,NCBCP340476_16mo_PTNetSynth.nii.gz,16-18m
22,17.365824,0.8445158026014793,0.5033824915529057,0.10962469,NCBCP340476_22mo_PTNetSynth.nii.gz,19-24m
