Age,PSNR,SSIM,LPIPS,MAE,File,AgeGroup
6,15.276106708346852,0.8891864916868459,0.5608282430673674,0.14691642,test_MNBCP662338_6mo_T2.nii.gz,4-6m
22,21.87557562630238,0.91256351294629,0.5847070242468688,0.04735709,test_NCBCP530066_22mo_T2.nii.gz,19-24m
10,21.98339826086029,0.9146237603872521,0.5535874626530497,0.055392697,test_NCBCP530066_10mo_T2.nii.gz,10-12m
13,22.10936098622465,0.9252830382483359,0.5578497874707683,0.049384937,test_NCBCP530066_13mo_T2.nii.gz,13-15m
16,19.034161123359826,0.9171891438954562,0.557743863950204,0.09530321,test_NCBCP530066_16mo_T2.nii.gz,16-18m
19,22.09742433250816,0.9189912600248692,0.5704201582308731,0.046351835,test_NCBCP530066_19mo_T2.nii.gz,19-24m
14,19.978763119303075,0.9034880744534367,0.5857027923020551,0.07144076,test_NCBCP189896_14mo_T2.nii.gz,13-15m
17,20.196853652845597,0.9160523847983104,0.590132734226401,0.07625734,test_NCBCP189896_17mo_T2.nii.gz,16-18m
24,20.718365512230676,0.8986407041430993,0.5640938775668367,0.053328197,test_MNBCP505499_24mo_T2.nii.gz,19-24m
12,19.64518319983511,0.8738949531817405,0.5081218570516801,0.075511724,test_MNBCP505499_12mo_T2.nii.gz,10-12m
6,20.677061690025237,0.8984008062783883,0.4756041051360307,0.05785279,test_MNBCP505499_6mo_T2.nii.gz,4-6m
20,19.316377810511312,0.897267105416516,0.4338572209615723,0.0844126,test_MNBCP439999_20mo_T2.nii.gz,19-24m
14,22.227762364863132,0.9246779550382739,0.5522670043260316,0.048749752,test_MNBCP439999_14mo_T2.nii.gz,13-15m
11,19.963347066345033,0.922550716073665,0.5511080878500704,0.083690904,test_MNBCP439999_11mo_T2.nii.gz,10-12m
17,22.195422945977302,0.923113746966894,0.4188592688289362,0.05704648,test_MNBCP439999_17mo_T2.nii.gz,16-18m
12,19.41322378590814,0.9087274001351139,0.550249925276763,0.07084116,test_NCBCP062519_12mo_T2.nii.gz,10-12m
10,15.305562009124117,0.8949041586659389,0.547745228835173,0.15129866,test_NCBCP062519_10mo_T2.nii.gz,10-12m
3,10.372081165659841,0.8704390069142949,0.5139834829866485,0.2640105,test_NCBCP062519_3mo_T2.nii.gz,0-3m
10,20.670838768452473,0.9048072527048877,0.5215508810391551,0.055109218,test_MNBCP936900_10mo_T2.nii.gz,10-12m
24,21.13164183469781,0.90522032108703,0.5837971228581147,0.054901402,test_NCBCP200474_24mo_T2.nii.gz,19-24m
12,20.998044506010594,0.9055708475083998,0.5376782003904927,0.056651708,test_NCBCP200474_12mo_T2.nii.gz,10-12m
15,21.49965499156215,0.9102698006888267,0.5634992376924655,0.05213203,test_NCBCP200474_15mo_T2.nii.gz,13-15m
18,21.603823653330924,0.9153382268869901,0.5428295784996056,0.054432362,test_NCBCP200474_18mo_T2.nii.gz,16-18m
21,20.99265382330171,0.909583883051725,0.5462772791397689,0.052129358,test_NCBCP200474_21mo_T2.nii.gz,19-24m
15,21.349534017436834,0.9090779463323627,0.5831775852821994,0.05393006,test_NCBCP418793_15mo_T2.nii.gz,13-15m
